timestamp;container;cpu;mem_usage;mem_percent;net_io;block_io
2026-09-04T16:19:05+00:00;tb-thingsboard-ce-1;29.45%;1.936GiB / 15.57GiB;12.44%;3.26GB / 4.75GB;74.2MB / 27MB
2026-09-04T16:19:05+00:00;tb-postgres-1;0.08%;2.965GiB / 15.57GiB;19.05%;1.18GB / 504MB;2.17GB / 11.1GB
2026-09-04T16:19:05+00:00;tb-kafka-1;11.18%;1.625GiB / 15.57GiB;10.44%;3.46GB / 2.65GB;155MB / 2.1GB
2026-09-04T16:19:17+00:00;tb-thingsboard-ce-1;15.73%;1.937GiB / 15.57GiB;12.44%;3.26GB / 4.75GB;74.2MB / 27MB
2026-09-04T16:19:17+00:00;tb-postgres-1;0.09%;2.967GiB / 15.57GiB;19.06%;1.18GB / 504MB;2.17GB / 11.1GB
2026-09-04T16:19:17+00:00;tb-kafka-1;5.91%;1.625GiB / 15.57GiB;10.44%;3.46GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:19:29+00:00;tb-thingsboard-ce-1;20.43%;1.937GiB / 15.57GiB;12.44%;3.26GB / 4.75GB;74.2MB / 27MB
2026-09-04T16:19:29+00:00;tb-postgres-1;26.70%;2.967GiB / 15.57GiB;19.06%;1.18GB / 504MB;2.17GB / 11.1GB
2026-09-04T16:19:29+00:00;tb-kafka-1;6.15%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:19:41+00:00;tb-thingsboard-ce-1;15.56%;1.937GiB / 15.57GiB;12.44%;3.26GB / 4.75GB;74.2MB / 27MB
2026-09-04T16:19:41+00:00;tb-postgres-1;0.74%;2.967GiB / 15.57GiB;19.06%;1.18GB / 505MB;2.17GB / 11.1GB
2026-09-04T16:19:41+00:00;tb-kafka-1;6.52%;1.624GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:19:53+00:00;tb-thingsboard-ce-1;15.39%;1.937GiB / 15.57GiB;12.44%;3.26GB / 4.75GB;74.2MB / 27MB
2026-09-04T16:19:53+00:00;tb-postgres-1;0.58%;2.967GiB / 15.57GiB;19.06%;1.18GB / 505MB;2.17GB / 11.1GB
2026-09-04T16:19:53+00:00;tb-kafka-1;5.93%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:20:05+00:00;tb-thingsboard-ce-1;17.58%;1.937GiB / 15.57GiB;12.44%;3.26GB / 4.75GB;74.2MB / 27MB
2026-09-04T16:20:05+00:00;tb-postgres-1;42.09%;2.968GiB / 15.57GiB;19.07%;1.18GB / 505MB;2.17GB / 11.1GB
2026-09-04T16:20:05+00:00;tb-kafka-1;6.79%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:20:18+00:00;tb-thingsboard-ce-1;15.31%;1.937GiB / 15.57GiB;12.44%;3.26GB / 4.75GB;74.2MB / 27MB
2026-09-04T16:20:18+00:00;tb-postgres-1;0.08%;2.967GiB / 15.57GiB;19.06%;1.18GB / 505MB;2.17GB / 11.1GB
2026-09-04T16:20:18+00:00;tb-kafka-1;5.90%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:20:30+00:00;tb-thingsboard-ce-1;18.13%;1.936GiB / 15.57GiB;12.44%;3.26GB / 4.75GB;74.2MB / 27MB
2026-09-04T16:20:30+00:00;tb-postgres-1;32.87%;2.967GiB / 15.57GiB;19.06%;1.18GB / 506MB;2.17GB / 11.1GB
2026-09-04T16:20:30+00:00;tb-kafka-1;9.66%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:20:42+00:00;tb-thingsboard-ce-1;13.96%;1.937GiB / 15.57GiB;12.44%;3.26GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:20:42+00:00;tb-postgres-1;1.75%;2.966GiB / 15.57GiB;19.06%;1.18GB / 506MB;2.17GB / 11.1GB
2026-09-04T16:20:42+00:00;tb-kafka-1;7.92%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:20:54+00:00;tb-thingsboard-ce-1;15.72%;1.936GiB / 15.57GiB;12.44%;3.26GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:20:54+00:00;tb-postgres-1;0.08%;2.966GiB / 15.57GiB;19.05%;1.18GB / 506MB;2.17GB / 11.1GB
2026-09-04T16:20:54+00:00;tb-kafka-1;5.44%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:21:06+00:00;tb-thingsboard-ce-1;17.06%;1.936GiB / 15.57GiB;12.44%;3.26GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:21:06+00:00;tb-postgres-1;0.32%;2.969GiB / 15.57GiB;19.08%;1.18GB / 506MB;2.17GB / 11.1GB
2026-09-04T16:21:06+00:00;tb-kafka-1;7.36%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:21:18+00:00;tb-thingsboard-ce-1;17.52%;1.936GiB / 15.57GiB;12.44%;3.26GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:21:18+00:00;tb-postgres-1;2.31%;2.968GiB / 15.57GiB;19.07%;1.18GB / 506MB;2.17GB / 11.1GB
2026-09-04T16:21:18+00:00;tb-kafka-1;6.13%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:21:30+00:00;tb-thingsboard-ce-1;16.06%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:21:30+00:00;tb-postgres-1;0.58%;2.969GiB / 15.57GiB;19.07%;1.18GB / 507MB;2.17GB / 11.1GB
2026-09-04T16:21:30+00:00;tb-kafka-1;7.47%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:21:42+00:00;tb-thingsboard-ce-1;15.80%;1.936GiB / 15.57GiB;12.44%;3.27GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:21:42+00:00;tb-postgres-1;0.07%;2.97GiB / 15.57GiB;19.08%;1.19GB / 507MB;2.17GB / 11.1GB
2026-09-04T16:21:42+00:00;tb-kafka-1;5.17%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:21:54+00:00;tb-thingsboard-ce-1;17.63%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:21:54+00:00;tb-postgres-1;0.64%;2.968GiB / 15.57GiB;19.07%;1.19GB / 507MB;2.17GB / 11.1GB
2026-09-04T16:21:54+00:00;tb-kafka-1;7.99%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:07+00:00;tb-thingsboard-ce-1;16.34%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.76GB;74.2MB / 27MB
2026-09-04T16:22:07+00:00;tb-postgres-1;0.10%;2.971GiB / 15.57GiB;19.09%;1.19GB / 507MB;2.17GB / 11.1GB
2026-09-04T16:22:07+00:00;tb-kafka-1;6.71%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:19+00:00;tb-thingsboard-ce-1;15.14%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:22:19+00:00;tb-postgres-1;0.08%;2.972GiB / 15.57GiB;19.09%;1.19GB / 508MB;2.17GB / 11.1GB
2026-09-04T16:22:19+00:00;tb-kafka-1;6.15%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:31+00:00;tb-thingsboard-ce-1;15.87%;1.936GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:22:31+00:00;tb-postgres-1;0.73%;2.974GiB / 15.57GiB;19.11%;1.19GB / 508MB;2.17GB / 11.1GB
2026-09-04T16:22:31+00:00;tb-kafka-1;11.13%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:43+00:00;tb-thingsboard-ce-1;14.85%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:22:43+00:00;tb-postgres-1;0.16%;2.975GiB / 15.57GiB;19.11%;1.19GB / 508MB;2.17GB / 11.1GB
2026-09-04T16:22:43+00:00;tb-kafka-1;6.09%;1.625GiB / 15.57GiB;10.44%;3.47GB / 2.66GB;155MB / 2.1GB
2026-09-04T16:22:55+00:00;tb-thingsboard-ce-1;18.73%;1.937GiB / 15.57GiB;12.44%;3.27GB / 4.77GB;74.2MB / 27MB
2026-09-04T16:22:55+00:00;tb-postgres-1;7.07%;2.976GiB / 15.57GiB;19.12%;1.19GB / 508MB;2.17GB / 11.2GB
